,index,start_time,end_time,text,wav_path,alignment_path,emotion,valence,arousal,dominance,gender
0,Ses01F_impro01_F000,006.2901,008.2357,Excuse me.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F000.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro01/Ses01F_impro01_F000.wdseg,neu,2.5000,2.5000,2.5000,F
1,Ses01F_impro01_F001,010.0100,011.3925,Yeah.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F001.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro01/Ses01F_impro01_F001.wdseg,neu,2.5000,2.5000,2.5000,F
2,Ses01F_impro01_F002,014.8872,018.0175,Is there a problem?,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F002.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro01/Ses01F_impro01_F002.wdseg,neu,2.5000,2.5000,2.5000,F
3,Ses01F_impro01_F003,019.2900,020.7875,You did.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F003.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro01/Ses01F_impro01_F003.wdseg,xxx,2.5000,3.0000,3.0000,F
4,Ses01F_impro01_F004,021.3257,024.7400,You were standing at the beginning and you directed me.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F004.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro01/Ses01F_impro01_F004.wdseg,xxx,2.5000,3.0000,2.5000,F
5,Ses01F_impro01_F005,027.4600,031.4900,Well what's the problem?  Let me change it.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F005.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro01/Ses01F_impro01_F005.wdseg,neu,2.5000,3.5000,2.0000,F
6,Ses01F_impro01_F006,038.9650,043.5900,What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F006.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro01/Ses01F_impro01_F006.wdseg,xxx,2.0000,3.5000,3.5000,F
7,Ses01F_impro01_F007,046.5800,052.1900,How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F007.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro01/Ses01F_impro01_F007.wdseg,xxx,2.5000,3.5000,3.5000,F
8,Ses01F_impro01_F008,056.1600,058.8225,I'm here to get an ID.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F008.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro01/Ses01F_impro01_F008.wdseg,xxx,2.0000,3.5000,3.5000,F
9,Ses01F_impro01_F009,061.8700,065.9700,Like what?  Like a birth certificate?,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F009.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro01/Ses01F_impro01_F009.wdseg,xxx,2.0000,3.5000,3.0000,F
